+------------------------------------------------------------------------------------+--------------------------------+-------+-------+
| Name                                                                               | Author                         | Score | Price |
| Start Learning CodeIgniter: From the Basics to Creation of Websites                | Shakzee Arain                  |  5.0  | $9.9  |
| Learning Web Development from Scratch: The Ultimate Bootcamp                       | DEVELOPMENT ISLAND             |  4.2  | $9.9  |
| Elm Language: Learn Elm Programming & Expand Your Opportunities!                   | Mammoth Interactive            |  5.0  | $9.9  |
| ES6 Tutorial for Beginners: From the Basics to Advanced                            | Mammoth Interactive            |  5.0  | $9.9  |
| JavaScript Beginner Project: How to Make a Web App with JavaScript                 | Ahmed Ibrahim                  |  5.0  | $9.9  |
| SharePoint Tutorial for Beginners                                                  | Thangeswari Navaneethakrishnan |  5.0  | $9.9  |
| Web Application Development Tutorial: .NET Course For Beginners                    | Ion Cosmin Grigore             |  5.0  | $15.  |
| Selenium Tutorial: Learn to Build an Automation Framework with Python              | Let's Kode It Kode It          |  5.0  | $17.  |
| Advanced JavaScript Course: Working with JavaScript Libraries                      | Shay Tavor                     |  5.0  | $9.9  |
| Practical PHP MySQL Course: Learn by Completing 5 Projects                         | Jazeb Akram                    |  3.7  | $210  |
| Learn How to Build a website from scratch with HTML5 and CSS3                      | Jazeb Akram                    |  5.0  | $70.  |
| Build a  secure PHP login page with email activation for any website               | Jazeb Akram                    |  5.0  | $60.  |
| How to Use Sublime Text 3 Like a Pro: Sublime Text Tutorial                        | Rana Shahzad Ahmad Khan        |  5.0  | $9.9  |
| Simple JavaScript Projects For Beginners: Get Excellent Skills On The Fly!         | Jazeb Akram                    |  5.0  | $80.  |
| React-Redux Tutorial for Beginners: Installation, Basics and More!                 | Mammoth Interactive            |  5.0  | $21.  |
| How to Build an App: Create Messenger App in 1 Day                                 | Eldor Togaymurotov             |  5.0  | $4.9  |
| A Complete Python Flask Tutorial on Main Principles and Making Your First Web Apps | Frank Anemaet                  |  5.0  | $9.9  |
| The Ultimate Razor Pages and Blazor Tutorial: Using C# for Front-End               | Taurius Litvinavicius          |  5.0  | $14.  |
| Learn WordPress Development to Create Custom Themes For Yourself and Your Clients! | LearnToProgram                 |  4.2  | $10.  |
| Node JS Website Tutorial on Building a Website from Scratch                        | Eldor Togaymurotov             |  5.0  | $4.9  |
| Wordpress 2020: Create a professional webshop in wordpress step by step            | Ronak Parmar                   |  5.0  | $9.0  |
| Secure Coding on Frontend: Best Practices                                          | Digest Academy                 |  4.4  | $7.9  |
| Create a Twitter Social Network Clone - PHP JavaScript MySQL                       | Aizaz Dinho                    |  5.0  | $10.  |
| Chrome DevTools Introduction 2020 Web Developers Guide                             | Laurence Svekis                |  4.9  | Free  |
+------------------------------------------------------------------------------------+--------------------------------+-------+-------+
